--PAIKKOJA
# Edustajiston paikkamäärä.
60
--ARVONTATAPA
tamy
--RENKAAT
# renkaan numero, nimi, tunnus
221, 5, Tarjamo Hanna-Maria, 3
222, 5, Uusikulku Riikka, 5
223, 5, Ylönen Olli, 2
224, 5, Alavaikko Mika, 12
225, 5, Borg Patrik, 8
226, 5, Douba Ahmad, 5
227, 5, Duwairi Ibrahim, 9
228, 5, Erola Jan, 29
229, 5, Hallikainen Mari, 7
230, 5, Hiekkanen Harri, 2
231, 5, Junkkari Tuuli, 10
232, 5, Kokkonen Marjaana, 6
233, 5, Korkiakoski Katariina, 8
234, 5, Kähärä Sami, 7
235, 5, Känninen Jari, 6
236, 5, Laamanen Mika, 4
237, 5, Lumiaro Ulla, 4
238, 5, Manninen Jani, 2
239, 5, Miettinen Karri, 1
240, 5, Miettinen Kirsi, 2
241, 5, Mäkinen Mika, 18
242, 5, Mäkinen Sami, 6
243, 5, Mänttäri Juha, 2
244, 5, Pennanen Paula, 7
245, 5, Piippo Anu, 8
246, 5, Pulliainen Lea, 9
247, 5, Raitala Eija, 19
248, 5, Rautio Anna, 6
249, 5, Schultz Saku, 2
250, 5, Sirvio Tuulia, 6
251, 5, Syrjälä Timo, 6
252, 5, Turunen Olli, 2
253, 5, Zitting Marianne, 3
254, 6, Harjunpää Susanna, 15
255, 6, Ala-Ruona Jari, 3
256, 6, Bonsdorff Maria von, 6
257, 6, Borgström Joachim, 2
258, 6, Eriksson Nina, 0
259, 6, Forssell Christina, 7
260, 6, Jaakkola Paula, 2
261, 6, Junnila Aimo, 3
262, 6, Kaarlela Anu, 4
263, 6, Lindholm Anu, 5
264, 6, Linja Jyrki, 1
265, 6, Peltonen Mia, 0
266, 6, Saarelainen Mari, 3
267, 6, Saimén Hanna, 15
268, 6, Sinisalo Pekka M., 12
269, 6, Sommardahl Hanna, 3
270, 6, Tervaportti Marko, 31
271, 6, Tuisku Heikki, 0
272, 6, Tykkä Kaira, 2
273, 6, Vilkuna Outi, 2
274, 6, Österman Vilja, 5
275, 6, Avikainen Sari, 8
276, 6, Kaipio "Junnu", 13
277, 6, Melajärvi Nina, 2
278, 6, Mäkelä-Lammi Kati, 7
279, 6, Mäntylä Riikka, 29
280, 6, Noponen Jukka, 0
281, 6, Palatsi Matti, 5
282, 6, Santanen Olli, 28
283, 6, Sarkomaa Sari, 4
284, 6, Aalto Janne, 2
285, 6, Huisjen David Jr., 9
286, 6, Karhumäki Heli, 6
287, 6, Koponen Ilkka, 4
288, 6, Koski Juha, 1
289, 6, Lammi Jari, 1
290, 6, Markkanen Ari, 6
291, 6, Pihlajamäki Ilkka, 14
292, 6, Rintamäki Juha, 7
293, 6, Tilus Johanna, 1
294, 6, Aherva Sami, 2
295, 6, Ahvenainen Jouko, 0
296, 6, Dakovic Velibor, 6
297, 6, Erolin Ebba, 7
298, 6, Forsberg Martti "Mara", 6
299, 6, Forsgård Jan-Peter, 2
300, 6, Hautala Mikko, 2
301, 6, Huhtanen Tomi, 17
302, 6, Huikko Ilkka, 4
303, 6, Huttunen Kristiina, 3
304, 6, Inkeri Raakel, 5
305, 6, Jaatinen Timo, 28
306, 6, Jutila Ville, 12
307, 6, Jäntti Sami 0.Y., 2
308, 6, Kaiju Matti, 6
309, 6, Karttunen Marko, 2
310, 6, Kiviniemi Antero, 6
311, 6, Koukku Minna, 2
312, 7, Koulumies Terhi, 17
313, 7, Kukkola Tomi, 4
314, 7, Kuusi Emma, 8
315, 7, Kuusiholma Taro, 1
316, 7, Lepel Klaus von, 5
317, 7, Lindgren Katja, 4
318, 7, Luotonen Pia-Stina, 5
319, 7, Lyytikäinen "Anni", 13
320, 7, Lönnqvist "Mara", 11
321, 7, Metsä Kimmo, 3
322, 7, Metsä Maija, 17
323, 7, Metsärinta Tero, 3
324, 7, Munukka Timo, 0
325, 7, Mustonen Juha, 19
326, 7, Nenonen Tuomo, 3
327, 7, Nikulainen Sirje, 4
328, 7, Niskanen Rebekka, 8
329, 7, Poutvaara Panu, 1
330, 7, Puuperä Jaakko, 7
331, 7, Puustinen Liina, 0
332, 7, Pyhältö Tero, 4
333, 7, Riihimäki Elisa, 1
334, 7, Siikaniva Tommi, 5
335, 7, Silvennoinen Annukka, 3
336, 7, Suhonen Johanna, 3
337, 7, Svensson Outi, 2
338, 7, Teiro Sanna, 2
339, 7, Tontti Jarkko, 1
340, 7, Tuominen Jarkko, 4
341, 7, Veräväinen "Tiina", 4
342, 7, Vuori Jukka-Pekka, 32
343, 7, Wilén Juha, 2
344, 7, Ala-Haavisto Hannu, 3
345, 7, Anttilainen Matti, 6
346, 7, Hannuksela Mari, 12
347, 7, Impola Kaarlo, 2
348, 7, Korte Kaisa, 2
349, 7, Koski Mikko, 3
350, 7, Lehtonen Elina, 2
351, 7, Leiponen Hanna, 14
352, 7, Mäkimattila Mikko, 6
353, 7, Pihanen Juha, 3
354, 7, Pänkälä Mika, 7
355, 7, Rantanen Anne, 8
356, 7, Rissanen Mikko, 22
357, 7, Sihvo Katariina "Riinu", 4
358, 7, Sihvola Ari, 2
359, 7, Stenbacka Juha, 12
360, 7, Tuumi Jussi, 2
361, 7, Ussa Elina, 23
362, 7, Alaviitala Minna, 1
363, 7, Anyamele Jnr., 22
364, 7, Haanperä Minna, 7
365, 7, Laisi Tiina, 4
366, 7, Leppänen Mikko, 4
367, 7, Ogor "Joe-The-Joe", 10
368, 7, Rantakari Pekka, 7
369, 7, Valo Susanna, 1
370, 7, Akaan-Penttilä Elina, 11
371, 7, Hirvonen Maria Elisa, 5
372, 8, Hyttinen Hannele, 2
373, 8, Hämäläinen Mari, 4
374, 8, Hänninen Rami, 4
375, 8, Högström Ann-Sofie, 3
376, 8, Hölttä Ari, 7
377, 8, Jaari Peter D., 8
378, 8, Kangas Marjukka "Maiju", 2
379, 8, Karttunen Juha, 2
380, 8, Kivelä Kimmo, 8
381, 8, Kuula Marja, 10
382, 8, Lakovaara Kaisa, 9
383, 8, Lehto Pialiina, 2
384, 8, Lempinen Katriina, 5
385, 8, Mustonen Tommi, 3
386, 8, Nurmi "Wille", 7
387, 8, Parkkola Hannu, 3
388, 8, Saarela Jani, 1
389, 8, Salmela Nina, 4
390, 8, Sario Juha, 4
391, 8, Sasi Jaakko, 5
392, 8, Syyrilä Jarkko, 4
393, 8, Säkäjärvi Marianne, 5
394, 8, Tapanila Tea, 1
395, 8, Tavast Mika, 29
396, 8, Wallenius Sanna, 0
397, 8, Österberg Mari, 5
398, 8, Alakörkkö Markku, 2
399, 8, Autero Jarkko, 3
400, 8, Brotherus Robert, 5
401, 8, Bäckström Jan, 7
402, 8, Erilä Marika, 1
403, 8, Heinonen Pia, 5
404, 8, Hätilä Miika, 0
405, 8, Isomäki Rene, 2
406, 8, Jokinen Marjukka, 2
407, 8, Junkkari Topi K., 6
408, 8, Karumo Pete, 13
409, 8, Kena Kimmo, 9
410, 8, Kolehmainen Anna, 6
411, 8, Konttinen Tarja, 2
412, 8, Kortesalo Jan, 2
413, 8, Koskinen Jani, 5
414, 8, Kuhalampi Miska, 6
415, 8, Niini Antti, 3
416, 8, Olli Timo, 13
417, 8, Pulli Harri, 5
418, 8, Ranta Tommi, 1
419, 8, Reynders Joonas, 1
420, 8, Salminen Harri, 7
421, 8, Saviranta Johanna, 50
422, 8, Savisalo Anssi, 10
423, 8, Seppälä Miina, 11
424, 8, Siimes Outi, 2
425, 8, Suonio Pekka, 4
426, 8, Taiminen Pasi, 2
427, 8, Toivonen Lauri, 0
428, 8, Tähtinen Timo, 6
429, 8, Wallasvaara Mervi, 5
430, 9, Lehtonen "Nico", 35
431, 9, Neuhaus Patrick, 52
432, 9, Pakkala Ilkka, 5
433, 9, Saukko Anna, 22
434, 9, Forsström "Cia", 0
435, 9, Julin Marko, 1
436, 9, Valve Tom, 9
437, 9, Jaatinen Jussi, 4
438, 9, Koistinen Mikko, 12
439, 9, Lehmann René, 7
440, 9, Nirvi Markku, 7
441, 9, Nirvi Riikka, 6
442, 9, Arinen Petteri, 5
443, 9, Berg Henri, 1
444, 9, Hakonen Janne, 3
445, 9, Halonen Markus, 1
446, 9, Hellemaa Antero, 3
447, 9, Hiilamo Hannu, 1
448, 9, Hyryläinen Sami, 10
449, 9, Jaatinen Anu, 3
450, 9, Jacobsson Tom, 21
451, 9, Kataja Heini, 3
452, 9, Niemi Hanna, 0
453, 9, Perko Minna, 5
454, 9, Rannikko Heikki "Hegu", 6
455, 9, Rasi Salla, 7
456, 9, Rauramo Markus, 14
457, 9, Ruutu Liisa, 9
458, 9, Saarinen Ilkka, 3
459, 9, Tanhuanpää Harri, 23
460, 9, Tynnilä Jani, 1
461, 9, Viheriävaara Jarkko, 9
462, 9, Vuori Mika, 3
463, 9, Ylipekkala Heikki, 0
464, 9, Huhtamäki Satu, 46
465, 9, Routti Nina, 7
466, 9, Selkee Henrikki, 18
467, 9, Syväranta Katri, 7
468, 9, Gates "Fred", 23
469, 9, Humppila Petra, 6
470, 10, Aaltonen Juri, 9
471, 10, Alho J-P, 7
472, 10, Aura Saku, 19
473, 10, Christiansen Toni, 6
474, 10, Hietanen Tommi, 2
475, 10, Nikula Tuomas "Stuba", 8
476, 10, Weckroth Tero, 46
477, 11, Autio Johanna, 19
478, 11, Gerkman "Micke", 2
479, 11, Haatainen Tuula, 22
480, 11, Hakkarainen Mikko T.A., 3
481, 11, Hentunen Mika, 3
482, 11, Jungner Mikael, 20
483, 11, Kinnunen "Krista", 15
484, 11, Kivipensas Pauli "Wider", 4
485, 11, Koivusalo Salla, 11
486, 11, Koponen Heikki, 18
487, 11, Liikkanen Harri, 7
488, 11, Luomi Jyrki, 0
489, 11, Meriläinen Aleksi, 16
490, 11, Mäkinen Jussi, 2
491, 11, Oilinki Ville, 7
492, 11, Pajamäki "Osku", 8
493, 11, Raitis Moina, 4
494, 11, Riikonen Mikko, 0
495, 11, Rinkinen Anu, 4
496, 11, Salminen Jooel, 4
497, 11, Shemeikka Tero, 5
498, 11, Yletyinen Kari-Pekka, 7
499, 11, Väisänen Pasi "Mahtisaari", 12
500, 12, Aalto Terhi, 46
501, 12, Baer "Tinka", 40
502, 12, Bister Melina, 39
503, 12, Hackman "Ali Ustad", 13
504, 12, Hakkarainen Minna, 10
505, 12, Havukainen "Sosku", 15
506, 12, Heikkinen Teppo, 52
507, 12, Heinonsalo Jussi, 17
508, 12, Hellakoski Tuija, 19
509, 12, Hillbom Tanja, 16
510, 12, Hiltunen Marjukka, 45
511, 12, Hyrskylahti Sami "Hyrsky", 20
512, 12, Janhunen Marko, 20
513, 12, Johansson Hanna "Beige", 18
514, 12, Kiiskinen Satu, 32
515, 12, Ingervo Heikki, 21
516, 12, Järvelä Timo, 7
